Date,Open*,High,Low,Close**,Volume,Market Cap
2015-03-04,281.99,284.23,268.13,273.09,41383000,3797385224
2015-03-03,275.05,285.80,268.16,281.70,50461300,3916108523
2015-03-02,260.36,276.30,258.31,275.67,40465700,3831178959
2015-03-01,254.28,261.66,245.93,260.20,25213700,3615181538
2015-02-28,253.52,254.69,249.48,254.26,13949300,3531776636
2015-02-27,236.44,256.65,236.44,253.83,44013900,3524820596
2015-02-26,237.34,237.71,234.26,236.43,13619400,3282272605
2015-02-25,238.89,239.34,235.53,237.47,11496200,3295875814
2015-02-24,239.00,239.90,236.40,238.74,14200400,3312489904
2015-02-23,235.99,240.11,232.42,238.89,16400000,3313897879
2015-02-22,244.54,246.39,233.85,235.98,19527000,3272629326
2015-02-21,243.75,255.32,243.18,244.53,12284200,3390372210
2015-02-20,240.25,247.10,239.30,243.78,23876700,3379032908
2015-02-19,236.41,242.67,235.59,240.28,18270500,3329631566
2015-02-18,243.78,244.25,232.34,236.33,25200800,3273812262
2015-02-17,233.42,245.77,232.31,243.61,27363100,3373706168
2015-02-16,234.82,239.52,229.02,233.84,28153700,3237573873
2015-02-15,257.51,265.61,227.68,234.82,56552400,3250242178
2015-02-14,235.53,259.81,235.53,257.32,49732500,3560717936
2015-02-13,221.97,240.26,221.26,235.43,42744400,3256814719
2015-02-12,219.21,222.20,217.61,221.76,15206200,3066996120
2015-02-11,219.73,223.41,218.07,219.18,17201900,3030676475
2015-02-10,220.28,221.81,215.33,219.84,21115100,3038850985
2015-02-09,223.39,223.98,217.02,220.11,27791300,3041799140
2015-02-08,227.69,229.44,221.08,223.41,17145200,3086537315
2015-02-07,222.63,230.30,222.61,227.75,21604200,3145761023
2015-02-06,216.92,230.51,216.23,222.27,24435300,3069076711
2015-02-05,227.66,239.40,214.73,217.11,22516400,2996945966
2015-02-04,227.51,230.06,221.11,226.85,26594300,3130520358
2015-02-03,237.45,245.96,224.48,227.27,40783700,3135343874
2015-02-02,226.49,242.18,222.66,238.23,30612100,3285797305
2015-02-01,216.87,231.57,212.01,226.97,29128500,3129637468
2015-01-31,226.44,233.50,216.31,217.46,23348200,2997692311
2015-01-30,232.77,242.85,225.84,226.43,26605200,3120272355
2015-01-29,233.35,238.71,220.71,233.51,32213400,3217149466
2015-01-28,263.35,266.54,227.05,233.91,44352200,3221728839
2015-01-27,273.17,275.48,250.65,263.48,44399000,3627760928
2015-01-26,254.08,309.38,254.08,273.47,106794000,3764417376
2015-01-25,247.35,255.07,243.89,253.72,33582700,3491686145
2015-01-24,232.70,248.21,230.02,247.85,24782500,3410114481
2015-01-23,233.52,234.85,225.20,232.88,24621700,3203436948
2015-01-22,227.32,237.02,226.43,233.41,33544600,3209962696
2015-01-21,211.38,227.79,211.21,226.90,29924600,3119680595
2015-01-20,212.91,215.24,205.15,211.32,24051100,2904651464
2015-01-19,211.47,216.73,207.32,214.86,18658300,2952759522
2015-01-18,200.05,218.70,194.51,210.34,30085100,2889858038
2015-01-17,207.83,211.73,194.88,199.26,23469700,2736875952
2015-01-16,209.07,221.59,199.77,208.10,38421000,2857541182
2015-01-15,176.90,229.07,176.90,209.84,81773504,2880801385
2015-01-14,223.89,223.89,171.51,178.10,97638704,2444379076
2015-01-13,267.39,268.28,219.91,225.86,72843904,3099004902
2015-01-12,266.15,272.20,265.20,267.80,18880300,3673551884
2015-01-11,274.61,279.64,265.04,265.66,18200800,3643307731
2015-01-10,287.30,288.13,273.97,274.80,15264300,3767535599
2015-01-09,282.38,291.11,280.53,290.41,18718600,3980426431
2015-01-08,294.14,294.14,282.17,283.35,19982500,3882766766
2015-01-07,286.08,298.75,283.08,294.34,24866800,4032255015
2015-01-06,274.61,287.55,272.70,286.19,23245700,3919623080
2015-01-05,265.08,278.34,265.08,274.47,43962800,3758098008
2015-01-04,281.15,287.23,257.61,264.20,55629100,3616320975
2015-01-03,314.85,315.15,281.08,281.08,33054400,3846269872
2015-01-02,314.08,315.84,313.57,315.03,7860650,4309551126
2015-01-01,320.43,320.43,314.00,314.25,8036550,4297535768
2014-12-31,310.91,320.19,310.21,320.19,13942900,4377510595
2014-12-30,312.72,314.81,309.37,310.74,12528300,4247060095
2014-12-29,317.70,320.27,312.31,312.67,12302500,4272268163
2014-12-28,316.16,320.03,311.08,317.24,11676600,4333389568
2014-12-27,327.58,328.91,312.63,315.86,15185200,4313267197
2014-12-26,319.15,331.42,316.63,327.92,16410500,4476703675
2014-12-25,322.29,322.67,316.96,319.01,9883640,4353789283
2014-12-24,334.39,334.74,321.36,322.53,15092300,4400637769
2014-12-23,332.02,336.29,329.60,334.57,16574200,4563595537
2014-12-22,321.07,334.12,320.42,331.89,22315100,4525705359
2014-12-21,329.54,329.63,318.90,320.84,15207600,4373820008
2014-12-20,317.62,330.33,316.04,329.96,20856700,4496945577
2014-12-19,311.18,318.53,306.77,317.84,23823100,4330801581
2014-12-18,319.79,323.71,304.23,311.40,39173000,4241890806
2014-12-17,326.86,333.95,315.15,319.78,37567900,4355021350
2014-12-16,345.67,345.86,327.06,327.06,30864900,4453202603
2014-12-15,351.36,351.82,344.93,345.35,17264200,4700905209
2014-12-14,346.73,353.32,345.42,351.63,12415200,4785245608
2014-12-13,352.38,352.38,346.59,347.38,11675900,4726102586
2014-12-12,350.83,352.98,349.29,352.54,16989800,4795055945
2014-12-11,344.34,361.36,338.76,350.51,32431300,4766084199
